                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.77422,                0.45644,                 0.9905,                0.96466,                0.93998,                0.96886,                0.80267,                0.77573,                0.35434,                 1.0111,             0.00015003,             0.00015003,             0.00015003
                      2,                  0.761,                0.39443,                0.95668,                0.92299,                 0.9302,                0.95849,                0.79132,                0.79294,                0.42715,                 1.0231,             0.00030889,             0.00030889,             0.00030889
                      3,                0.81405,                  0.475,                0.99057,                0.92754,                 0.9064,                0.94859,                0.78457,                0.79366,                0.43086,                 1.0259,              0.0004595,              0.0004595,              0.0004595
                      4,                0.81355,                0.48327,                0.98932,                0.84998,                0.85892,                0.90659,                 0.7468,                0.82987,                0.55415,                 1.0504,             0.00060186,             0.00060186,             0.00060186
                      5,                0.82661,                0.44922,                0.99028,                0.79832,                 0.8139,                0.84626,                0.68557,                0.87517,                0.76601,                 1.1011,             0.00073596,             0.00073596,             0.00073596
                      6,                0.84222,                0.46503,                0.99693,                0.78779,                0.83582,                0.81679,                0.65722,                0.88253,                0.76281,                 1.0933,             0.00086182,             0.00086182,             0.00086182
                      7,                 0.8481,                 0.4977,                 1.0537,                0.84106,                  0.883,                0.91319,                0.74728,                0.83994,                0.55253,                 1.0525,             0.00097942,             0.00097942,             0.00097942
                      8,                0.84877,                0.46668,                 1.0119,                0.93907,                0.91309,                0.95376,                0.78017,                0.82734,                0.42991,                 1.0373,              0.0010888,              0.0010888,              0.0010888
                      9,                0.82914,                 0.4685,                0.97805,                0.92573,                0.92237,                0.95659,                0.78741,                0.80613,                0.43603,                 1.0267,              0.0011899,              0.0011899,              0.0011899
                     10,                0.81895,                 0.4925,                 1.0124,                0.93599,                0.92315,                0.95411,                0.78469,                0.81487,                 0.4263,                 1.0294,              0.0012827,              0.0012827,              0.0012827
