                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0881,                 1.2433,                 1.1112,                0.70304,                0.86214,                0.85446,                0.69188,                0.70992,                0.85407,                0.95793,             0.00055017,             0.00055017,             0.00055017
                      2,                0.93495,                0.93944,                 1.0554,                0.79097,                0.79269,                 0.8995,                0.74408,                0.64889,                0.93801,                 0.9469,               0.001062,               0.001062,               0.001062
                      3,                0.96144,                0.87959,                 1.0779,                0.61574,                0.88813,                0.83706,                0.60218,                0.99499,                  1.283,                 1.1366,              0.0015299,              0.0015299,              0.0015299
                      4,                0.88497,                0.80433,                 1.0579,                0.78094,                0.78463,                0.89973,                0.73431,                0.70735,                0.89082,                0.98104,               0.001469,               0.001469,               0.001469
                      5,                0.95233,                0.84217,                 1.0793,                 0.8002,                0.88167,                0.91287,                0.78827,                0.59401,                0.66415,                0.93141,              0.0014029,              0.0014029,              0.0014029
                      6,                 0.8557,                 0.7543,                  1.057,                0.83288,                0.91344,                0.94638,                0.82372,                0.56317,                0.56932,                0.92486,              0.0013369,              0.0013369,              0.0013369
                      7,                0.82531,                0.70367,                 1.0331,                0.82792,                0.87273,                0.93711,                0.81788,                0.54743,                0.60799,                0.91611,              0.0012709,              0.0012709,              0.0012709
                      8,                0.86245,                0.67911,                 1.0644,                0.87439,                0.90755,                0.94836,                0.79391,                0.66428,                0.54469,                0.96403,              0.0012049,              0.0012049,              0.0012049
                      9,                0.83846,                0.65327,                 1.0384,                0.87986,                0.88525,                0.94761,                0.82626,                0.57293,                0.50378,                0.92159,              0.0011389,              0.0011389,              0.0011389
                     10,                0.80475,                0.61868,                   1.02,                0.86605,                0.90332,                0.94598,                0.83341,                0.52983,                0.53539,                0.90325,              0.0010729,              0.0010729,              0.0010729
                     11,                0.76204,                0.58537,                  0.996,                0.81715,                0.88221,                0.94788,                0.83165,                0.54911,                0.59508,                0.90515,              0.0010069,              0.0010069,              0.0010069
                     12,                0.74113,                0.59286,                0.98596,                 0.7673,                0.90933,                0.93959,                0.81987,                0.54567,                0.65507,                0.90808,             0.00094085,             0.00094085,             0.00094085
                     13,                0.76931,                0.60437,                 1.0098,                0.81805,                 0.9043,                0.95204,                0.82725,                0.57781,                0.54322,                0.91578,             0.00087484,             0.00087484,             0.00087484
                     14,                0.76676,                0.60786,                 1.0255,                0.75751,                0.91002,                0.93768,                0.82066,                0.53098,                0.61218,                0.90303,             0.00080883,             0.00080883,             0.00080883
                     15,                0.72563,                0.55661,                0.98515,                0.87414,                 0.9136,                0.95539,                0.85285,                0.50158,                0.45694,                0.88972,             0.00074282,             0.00074282,             0.00074282
                     16,                0.77388,                0.55423,                 1.0676,                0.85131,                0.92199,                 0.9525,                 0.8431,                0.51436,                 0.4806,                0.89604,              0.0006768,              0.0006768,              0.0006768
                     17,                0.75717,                0.51908,                  1.043,                0.82346,                 0.9011,                0.94594,                 0.8271,                0.53568,                0.54837,                0.90803,             0.00061079,             0.00061079,             0.00061079
                     18,                0.75695,                0.52991,                 1.0523,                0.82554,                0.90179,                 0.9407,                 0.8252,                0.53211,                  0.556,                0.90368,             0.00054478,             0.00054478,             0.00054478
                     19,                0.73503,                0.51294,                 1.0268,                0.88905,                0.91077,                0.95804,                0.84382,                0.53528,                0.45849,                0.89857,             0.00047876,             0.00047876,             0.00047876
                     20,                0.70816,                0.49954,                 1.0177,                0.88783,                0.89712,                0.96028,                0.85281,                 0.5092,                0.43483,                0.89304,             0.00041275,             0.00041275,             0.00041275
                     21,                0.69271,                0.46428,                 1.0068,                0.84575,                0.92906,                0.95636,                0.84447,                 0.5196,                0.45529,                0.89878,             0.00034674,             0.00034674,             0.00034674
                     22,                0.68136,                0.45826,                 1.0035,                0.86557,                0.90014,                0.95026,                0.83908,                0.52392,                0.48659,                0.89966,             0.00028072,             0.00028072,             0.00028072
                     23,                0.65772,                0.44509,                0.98056,                0.86592,                0.91896,                  0.955,                0.84536,                 0.5086,                0.44167,                0.89311,             0.00021471,             0.00021471,             0.00021471
                     24,                0.65449,                0.42782,                0.99251,                0.85842,                0.91961,                0.95574,                 0.8519,                0.49969,                 0.4369,                0.88957,              0.0001487,              0.0001487,              0.0001487
                     25,                0.63411,                0.40785,                0.98006,                0.85842,                 0.9197,                0.95595,                0.84414,                0.51683,                0.43336,                0.89904,             8.2683e-05,             8.2683e-05,             8.2683e-05
