                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0995,                 1.9932,                 1.0183,                0.56748,                0.84546,                0.65296,                 0.5105,                0.76144,                 1.3518,                0.92484,             0.00055017,             0.00055017,             0.00055017
                      2,                0.94877,                 1.1857,                 0.9757,                0.70488,                0.82606,                0.82646,                0.67472,                0.68044,                0.97983,                0.87058,               0.001062,               0.001062,               0.001062
                      3,                0.91154,                 1.0285,                0.95515,                0.79679,                0.84244,                0.88799,                0.74045,                0.63478,                0.86451,                0.85062,              0.0015299,              0.0015299,              0.0015299
                      4,                0.85063,                0.97774,                0.93911,                0.63049,                0.92317,                0.85554,                0.72899,                0.61628,                0.99031,                0.84439,               0.001469,               0.001469,               0.001469
                      5,                0.81063,                0.91035,                0.92556,                0.75966,                0.91728,                0.90399,                0.76399,                0.62322,                0.77729,                 0.8497,              0.0014029,              0.0014029,              0.0014029
                      6,                0.80524,                0.88143,                0.92177,                0.79823,                0.88804,                0.92006,                0.79344,                0.58768,                0.74394,                0.83679,              0.0013369,              0.0013369,              0.0013369
                      7,                0.82617,                0.85837,                0.92477,                0.78456,                 0.8883,                0.90629,                 0.7594,                0.65492,                0.77387,                0.85883,              0.0012709,              0.0012709,              0.0012709
                      8,                0.83462,                0.85198,                0.93852,                0.69589,                0.92133,                0.91543,                0.76872,                0.62908,                0.86403,                0.85421,              0.0012049,              0.0012049,              0.0012049
                      9,                0.77817,                0.82228,                0.91344,                0.78967,                0.91271,                0.92834,                 0.8037,                0.57721,                0.68309,                0.84157,              0.0011389,              0.0011389,              0.0011389
                     10,                0.78008,                0.80881,                0.91266,                0.83065,                0.91274,                0.93355,                0.80486,                0.58599,                0.64624,                0.83972,              0.0010729,              0.0010729,              0.0010729
                     11,                0.75291,                0.77707,                0.90027,                 0.7801,                0.87833,                0.91902,                0.78939,                0.57441,                0.73432,                 0.8359,              0.0010069,              0.0010069,              0.0010069
                     12,                0.73374,                0.74865,                0.90119,                0.76411,                0.85951,                0.91284,                0.76738,                0.63401,                0.82126,                0.85066,             0.00094085,             0.00094085,             0.00094085
                     13,                0.72485,                0.73769,                0.89968,                0.83387,                0.88154,                0.92753,                0.79463,                  0.585,                0.63038,                 0.8358,             0.00087484,             0.00087484,             0.00087484
                     14,                0.72874,                0.75211,                0.90559,                0.69634,                  0.892,                0.87988,                 0.7427,                0.60995,                 1.0494,                0.84875,             0.00080883,             0.00080883,             0.00080883
                     15,                 0.7191,                0.72438,                0.89646,                0.85248,                0.86127,                0.94591,                0.82494,                0.53632,                0.62626,                0.82961,             0.00074282,             0.00074282,             0.00074282
                     16,                0.76954,                0.71421,                0.91119,                0.81233,                0.91152,                0.93001,                0.78859,                0.60163,                0.62238,                0.84351,              0.0006768,              0.0006768,              0.0006768
                     17,                0.76999,                0.69322,                0.90311,                0.85722,                0.87277,                 0.9385,                0.80965,                0.56899,                0.63486,                0.84019,             0.00061079,             0.00061079,             0.00061079
                     18,                0.73954,                0.69087,                0.89511,                0.77009,                0.90277,                0.94423,                0.81939,                0.54931,                0.69322,                0.83509,             0.00054478,             0.00054478,             0.00054478
                     19,                0.70649,                0.66321,                0.88012,                0.88211,                0.86103,                0.94577,                0.82309,                0.52874,                0.58579,                0.83129,             0.00047876,             0.00047876,             0.00047876
                     20,                0.69391,                 0.6859,                0.88148,                0.85176,                0.89861,                0.94332,                0.82747,                0.51949,                0.58185,                0.82761,             0.00041275,             0.00041275,             0.00041275
                     21,                0.68705,                0.65753,                0.87942,                0.69471,                0.92065,                0.93468,                0.80973,                0.56025,                0.83973,                0.83075,             0.00034674,             0.00034674,             0.00034674
                     22,                 0.6928,                0.65459,                0.88072,                0.85026,                0.89007,                0.94397,                0.81659,                0.54954,                0.58019,                0.83297,             0.00028072,             0.00028072,             0.00028072
                     23,                0.68636,                0.64712,                0.86996,                0.78134,                0.93706,                0.95083,                0.83304,                0.54821,                0.63725,                 0.8311,             0.00021471,             0.00021471,             0.00021471
                     24,                0.68031,                0.60863,                0.87873,                0.88568,                 0.9015,                0.95369,                0.83637,                0.52052,                0.52191,                0.82646,              0.0001487,              0.0001487,              0.0001487
                     25,                0.64644,                0.59625,                0.86728,                0.88658,                0.90432,                0.95233,                0.83736,                0.51321,                 0.5249,                0.82669,             8.2683e-05,             8.2683e-05,             8.2683e-05
