                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0935,                 1.2431,                 1.0492,                0.74188,                0.88922,                 0.8884,                0.72914,                0.71195,                0.91693,                0.89568,             0.00055017,             0.00055017,             0.00055017
                      2,                0.95132,                 0.9132,                0.98237,                0.66324,                  0.852,                0.84603,                0.69026,                0.69072,                0.99033,                0.87925,               0.001062,               0.001062,               0.001062
                      3,                0.89016,                0.83754,                0.96109,                0.72621,                0.86907,                0.87289,                0.73589,                0.65216,                0.84638,                0.86739,              0.0015299,              0.0015299,              0.0015299
                      4,                0.86756,                0.83355,                0.95514,                0.64836,                0.90351,                0.83064,                0.68714,                0.70755,                 1.0304,                0.87906,               0.001469,               0.001469,               0.001469
                      5,                0.84258,                0.76712,                0.94356,                0.87128,                0.89266,                0.93961,                0.80806,                0.57637,                0.59246,                0.84883,              0.0014029,              0.0014029,              0.0014029
                      6,                0.79429,                0.69302,                0.93409,                0.87041,                0.90416,                0.94631,                0.82313,                0.57139,                0.54819,                0.84159,              0.0013369,              0.0013369,              0.0013369
                      7,                0.82932,                0.70889,                0.94524,                0.85742,                 0.9176,                 0.9421,                 0.8081,                0.58542,                0.56154,                0.84725,              0.0012709,              0.0012709,              0.0012709
                      8,                0.84339,                0.69097,                0.95294,                0.82053,                0.90359,                   0.94,                0.81271,                0.54786,                0.58766,                0.84333,              0.0012049,              0.0012049,              0.0012049
                      9,                0.77271,                0.66445,                 0.9251,                0.86914,                0.89505,                0.94488,                0.82138,                0.55393,                0.52421,                 0.8449,              0.0011389,              0.0011389,              0.0011389
                     10,                0.77044,                0.63083,                0.92419,                0.84262,                0.91178,                0.94164,                0.80598,                0.60689,                0.55302,                0.86222,              0.0010729,              0.0010729,              0.0010729
                     11,                0.77283,                 0.6237,                0.91951,                0.75225,                0.89489,                0.92437,                0.80735,                0.57752,                0.71809,                0.84115,              0.0010069,              0.0010069,              0.0010069
                     12,                0.73971,                0.60845,                 0.9148,                0.77618,                 0.9019,                0.93134,                0.81448,                 0.5529,                0.67955,                0.84883,             0.00094085,             0.00094085,             0.00094085
                     13,                0.71817,                0.57171,                0.90845,                0.85147,                0.91158,                0.95094,                 0.8372,                 0.5379,                0.53028,                0.83579,             0.00087484,             0.00087484,             0.00087484
                     14,                0.70965,                0.58027,                0.90821,                 0.8431,                0.88712,                0.94633,                0.81856,                0.56924,                0.56566,                0.84975,             0.00080883,             0.00080883,             0.00080883
                     15,                0.69569,                0.55656,                  0.899,                0.84239,                 0.8896,                0.95104,                0.84359,                0.51079,                0.53999,                0.82981,             0.00074282,             0.00074282,             0.00074282
                     16,                0.74092,                0.51712,                0.90974,                 0.8281,                0.76753,                0.82447,                0.65584,                0.79169,                 0.8146,                0.89725,              0.0006768,              0.0006768,              0.0006768
                     17,                  0.726,                0.53423,                0.90045,                0.86575,                0.88568,                0.94325,                0.83073,                   0.53,                0.55331,                0.83579,             0.00061079,             0.00061079,             0.00061079
                     18,                0.70748,                0.50708,                0.89131,                 0.7342,                0.90301,                0.92797,                0.81613,                0.55249,                0.72086,                  0.838,             0.00054478,             0.00054478,             0.00054478
                     19,                0.71997,                0.52118,                0.89404,                0.86791,                0.91232,                0.94631,                0.83801,                0.52216,                0.49939,                0.83487,             0.00047876,             0.00047876,             0.00047876
                     20,                0.67521,                0.49471,                0.88292,                0.81401,                0.86809,                 0.9264,                 0.8154,                0.52427,                0.64863,                0.84126,             0.00041275,             0.00041275,             0.00041275
                     21,                0.66161,                0.46962,                0.88191,                0.86657,                 0.9157,                0.95585,                0.84246,                 0.5293,                0.47537,                 0.8386,             0.00034674,             0.00034674,             0.00034674
                     22,                0.66782,                0.46575,                0.88582,                0.85922,                 0.9255,                0.95718,                0.84329,                0.52863,                0.47909,                0.83754,             0.00028072,             0.00028072,             0.00028072
                     23,                0.62678,                0.43346,                0.86456,                0.88604,                0.90558,                0.95609,                0.84666,                0.51853,                 0.4668,                 0.8353,             0.00021471,             0.00021471,             0.00021471
                     24,                0.66102,                 0.4299,                 0.8799,                0.86417,                 0.9237,                0.95898,                0.84452,                0.52203,                0.47071,                0.83939,              0.0001487,              0.0001487,              0.0001487
                     25,                0.62917,                0.41319,                0.87186,                0.87312,                0.91029,                0.95513,                0.84075,                0.52431,                 0.4748,                0.83689,             8.2683e-05,             8.2683e-05,             8.2683e-05
